url	first_seen	portal	title	company	status	location
https://job-boards.greenhouse.io/deepmind/jobs/7669433	2026-07-06	greenhouse-api	Research Engineer, Human Understanding	Google DeepMind	added	Los Angeles, California, US; Mountain View, California, US
https://job-boards.greenhouse.io/deepmind/jobs/7339890	2026-07-06	greenhouse-api	Research Engineer, Materials Science	Google DeepMind	added	Mountain View, California, US
https://job-boards.greenhouse.io/deepmind/jobs/7171371	2026-07-06	greenhouse-api	Research Engineer, Multimodal Reasoning For Information Literacy	Google DeepMind	added	Mountain View, California, US
https://job-boards.greenhouse.io/deepmind/jobs/7421111	2026-07-06	greenhouse-api	Research Scientist, Gemini Safety	Google DeepMind	added	Mountain View, California, US
https://job-boards.greenhouse.io/deepmind/jobs/7680885	2026-07-06	greenhouse-api	Research Scientist, Multimodal Alignment, Safety, and Fairness	Google DeepMind	added	Kirkland, Washington, US; Mountain View, California, US; New York City, New York, US
https://job-boards.greenhouse.io/scaleai/jobs/4625271005	2026-07-06	greenhouse-api	Engineering Manager, Agent Oversight	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4694861005	2026-07-06	greenhouse-api	Frontier Agents Engineer	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4661650005	2026-07-06	greenhouse-api	Machine Learning Fellow - Human Frontier Collective (Canada)	Scale AI	added	Canada
https://job-boards.greenhouse.io/scaleai/jobs/4660340005	2026-07-06	greenhouse-api	Machine Learning Fellow - Human Frontier Collective (US)	Scale AI	added	United States
https://job-boards.greenhouse.io/scaleai/jobs/4625345005	2026-07-06	greenhouse-api	Machine Learning Research Engineer, Agent Data Foundation - Enterprise GenAI	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4625344005	2026-07-06	greenhouse-api	Machine Learning Research Engineer, Agents - Enterprise GenAI	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4640096005	2026-07-06	greenhouse-api	Machine Learning Solutions Engineer – Robotics	Scale AI	added	San Francisco, CA
https://job-boards.greenhouse.io/scaleai/jobs/4625341005	2026-07-06	greenhouse-api	Machine Learning Systems Research Engineer, Agent Post-training - Enterprise GenAI	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4534631005	2026-07-06	greenhouse-api	ML Research Engineer, ML Systems	Scale AI	added	San Francisco, CA; Seattle, WA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4663053005	2026-07-06	greenhouse-api	ML Systems Engineer, Robotics	Scale AI	added	San Francisco, CA
https://job-boards.greenhouse.io/scaleai/jobs/4675684005	2026-07-06	greenhouse-api	Research Scientist, Agent Robustness	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4675694005	2026-07-06	greenhouse-api	Research Scientist, AI Controls and Monitoring	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4677657005	2026-07-06	greenhouse-api	Research Scientist, Frontier Risk Evaluations	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4696595005	2026-07-06	greenhouse-api	Research Scientist, Safety Post Training	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4702657005	2026-07-06	greenhouse-api	Safety Coordinator / Lab Lead	Scale AI	added	San Francisco, CA
https://job-boards.greenhouse.io/scaleai/jobs/4709281005	2026-07-06	greenhouse-api	Senior AI Product Manager, Healthcare Agents	Scale AI	added	San Francisco, CA; Seattle, WA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4602177005	2026-07-06	greenhouse-api	Senior Frontier Agent Engineering Manager, Enterprise	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4694863005	2026-07-06	greenhouse-api	Senior Frontier Agents Engineer	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4654897005	2026-07-06	greenhouse-api	Senior Software Engineer - Agentic Tooling & Productivity	Scale AI	added	San Francisco, CA
https://job-boards.greenhouse.io/scaleai/jobs/4694869005	2026-07-06	greenhouse-api	Senior Staff Frontier Agents Engineer	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4658162005	2026-07-06	greenhouse-api	Senior/Staff Machine Learning Research Engineer, General Agents, Enterprise GenAI	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4488520005	2026-07-06	greenhouse-api	Senior / Staff Machine Learning Research Scientist, Agents	Scale AI	added	San Francisco, CA; Seattle, WA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4658316005	2026-07-06	greenhouse-api	Senior Strategic Projects Lead, Robotics	Scale AI	added	San Francisco, CA
https://job-boards.greenhouse.io/scaleai/jobs/4618065005	2026-07-06	greenhouse-api	Software Engineer, Robotics & Autonomous Systems	Scale AI	added	San Francisco, CA
https://job-boards.greenhouse.io/scaleai/jobs/4710382005	2026-07-06	greenhouse-api	Solutions Engineer – Robotics & Autonomous Driving	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4694865005	2026-07-06	greenhouse-api	Staff Frontier Agents Engineer	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4625337005	2026-07-06	greenhouse-api	Staff Machine Learning Research Engineer, Agent Post-training - Enterprise GenAI	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/scaleai/jobs/4612403005	2026-07-06	greenhouse-api	Staff Product Manager, Agentic Platform	Scale AI	added	New York, NY; San Francisco, CA; Washington, DC
https://job-boards.greenhouse.io/scaleai/jobs/4702122005	2026-07-06	greenhouse-api	Strategic Projects Lead, Red Team	Scale AI	added	San Francisco, CA; New York, NY
https://job-boards.greenhouse.io/anthropic/jobs/5183044008	2026-07-06	greenhouse-api	Anthropic Fellows Program, AI Safety	Anthropic	added	London, UK; Ontario, CAN; Remote-Friendly, United States; San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5183052008	2026-07-06	greenhouse-api	Anthropic Fellows Program, Reinforcement Learning	Anthropic	added	London, UK; Ontario, CAN; Remote-Friendly, United States; San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5066977008	2026-07-06	greenhouse-api	Biological Safety Research Scientist	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5159608008	2026-07-06	greenhouse-api	Engineering Manager, Agent Prompts & Evals	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5290837008	2026-07-06	greenhouse-api	Engineering Manager, Agent Runtime Platform	Anthropic	added	San Francisco, CA | Seattle, WA
https://job-boards.greenhouse.io/anthropic/jobs/5186067008	2026-07-06	greenhouse-api	Full-Stack Software Engineer, Reinforcement Learning	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5209711008	2026-07-06	greenhouse-api	Manager, Applied AI Engineering	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5277834008	2026-07-06	greenhouse-api	Manager, Applied AI Engineering, Beneficial Deployments (Life Sciences)	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/4949336008	2026-07-06	greenhouse-api	ML/Research Engineer, Safeguards	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5254364008	2026-07-06	greenhouse-api	Research Engineer, Code RL (Reinforcement Learning)	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5285246008	2026-07-06	greenhouse-api	Research Engineer, Computer Use	Anthropic	added	San Francisco, CA | New York City, NY | Seattle, WA
https://job-boards.greenhouse.io/anthropic/jobs/5025624008	2026-07-06	greenhouse-api	Research Engineer, Cybersecurity RL (Reinforcement Learning)	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/4669581008	2026-07-06	greenhouse-api	Research Engineer, Discovery	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5271380008	2026-07-06	greenhouse-api	Research Engineer, Domain Scaling	Anthropic	added	San Francisco, CA | New York City, NY | Seattle, WA
https://job-boards.greenhouse.io/anthropic/jobs/5071132008	2026-07-06	greenhouse-api	Research Engineer, Economic Research Data Platform	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/4980430008	2026-07-06	greenhouse-api	Research Engineer, Interpretability	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5197337008	2026-07-06	greenhouse-api	Research Engineer, Knowledge Foundations	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/4017331008	2026-07-06	greenhouse-api	Research Engineer, Knowledge Team	Anthropic	added	Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5265365008	2026-07-06	greenhouse-api	Research Engineer, Life Sciences	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/4613568008	2026-07-06	greenhouse-api	Research Engineer, Machine Learning (Reinforcement Learning)	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5198108008	2026-07-06	greenhouse-api	Research Engineer, Machine Learning (RL Velocity)	Anthropic	added	Remote-Friendly (Travel-Required) | San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5160330008	2026-07-06	greenhouse-api	Research Engineer, Performance RL (Reinforcement Learning)	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/4938432008	2026-07-06	greenhouse-api	Research Engineer, Pretraining Scaling	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/4613592008	2026-07-06	greenhouse-api	Research Engineer, Production Model Post-Training	Anthropic	added	San Francisco, CA | New York City, NY | Seattle, WA
https://job-boards.greenhouse.io/anthropic/jobs/5074815008	2026-07-06	greenhouse-api	Research Engineer/Research Scientist, Audio	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/4616971008	2026-07-06	greenhouse-api	Research Engineer/Research Scientist, Pre-training	Anthropic	added	Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/4951814008	2026-07-06	greenhouse-api	Research Engineer / Research Scientist, Tokens	Anthropic	added	New York City, NY; New York City, NY | Seattle, WA; San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5278065008	2026-07-06	greenhouse-api	Research Engineer, Rule of Law	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5191785008	2026-07-06	greenhouse-api	Research Engineer, Safeguards Labs	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/4631822008	2026-07-06	greenhouse-api	Research Engineer / Scientist, Alignment	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5076477008	2026-07-06	greenhouse-api	Research Engineer / Scientist, Frontier Red Team (Cyber)	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5061517008	2026-07-06	greenhouse-api	Research Engineer, Universes	Anthropic	added	Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5074217008	2026-07-06	greenhouse-api	Research Engineer, Visual Knowledge Work	Anthropic	added	New York City, NY; San Francisco, CA; Seattle, WA
https://job-boards.greenhouse.io/anthropic/jobs/4980427008	2026-07-06	greenhouse-api	Research Scientist, Interpretability	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5239733008	2026-07-06	greenhouse-api	Research Scientist, Life Sciences	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5137183008	2026-07-06	greenhouse-api	Safeguards Enforcement Analyst, Safety Evaluations	Anthropic	added	Remote-Friendly (Travel-Required) | San Francisco, CA | Washington, DC; San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/4593216008	2026-07-06	greenhouse-api	Staff Research Engineer, Discovery Team	Anthropic	added	San Francisco, CA
https://job-boards.greenhouse.io/anthropic/jobs/5251671008	2026-07-06	greenhouse-api	Staff Software Engineer, Safeguards Evals	Anthropic	added	San Francisco, CA | New York City, NY
https://job-boards.greenhouse.io/anthropic/jobs/5108695008	2026-07-06	greenhouse-api	Technical Program Manager, Safeguards (Infrastructure & Evals)	Anthropic	added	San Francisco, CA | New York City, NY | Seattle, WA
https://jobs.ashbyhq.com/cohere/0cf19dbd-bfa9-425f-a357-e2bd874bb489	2026-07-06	ashby-api	Data Annotation Specialist, Safety	Cohere	added	Canada · Calgary · Vancouver · Toronto · Montreal
https://jobs.ashbyhq.com/cohere/1a5925d0-41bd-4549-9b78-f427a2dda922	2026-07-06	ashby-api	Research Engineer	Cohere	added	Toronto
https://jobs.ashbyhq.com/cohere/1d1b300d-254b-48c4-958f-99c6b907f295	2026-07-06	ashby-api	Product Manager, Agent Harness & Modelling	Cohere	added	Toronto · London · United Kingdom · New York · United States · Montreal · Canada
https://jobs.ashbyhq.com/cohere/1f7cc5e6-5f31-40d8-ad49-fe22c98a3ea4	2026-07-06	ashby-api	Senior Member of Technical Staff, Safety and Security for Agents	Cohere	added	London · New York · United States · Edinburgh · United Kingdom · Paris · France · Toronto · Canada · Montreal
https://jobs.ashbyhq.com/cohere/1fa01a03-9253-4f62-8f10-0fe368b38cb9	2026-07-06	ashby-api	Forward Deployed Engineer, Agentic Platform (West Coast)	Cohere	added	San Francisco · Salt Lake City · United States · Phoenix · Seattle · Los Angeles · Vancouver · Canada
https://jobs.ashbyhq.com/cohere/2d4d224f-94d4-40ce-88d5-5d340bc0da4e	2026-07-06	ashby-api	Senior Research Engineer - Safety Tooling and Data	Cohere	added	New York
https://jobs.ashbyhq.com/cohere/4a3c3eb2-ae2e-4a86-a677-7bdecbc7d76e	2026-07-06	ashby-api	Software Engineer, Agents & Automations	Cohere	added	London · Europe · European Union · Canada · United States · San Francisco
https://jobs.ashbyhq.com/cohere/554a9380-ab50-4338-88a9-c6b8ab19d92e	2026-07-06	ashby-api	Member of Technical Staff, Post-Training	Cohere	added	London · San Francisco · United States · New York · Paris · France · Toronto · Canada · Montreal
https://jobs.ashbyhq.com/cohere/582c4a60-14a2-49d5-b4d3-24c4ec50508d	2026-07-06	ashby-api	Senior Technical Program Manager, Machine Learning Infrastructure	Cohere	added	Canada · Europe · European Union · United States · San Francisco
https://jobs.ashbyhq.com/cohere/61703710-4379-42fd-a508-946f2a5fb6bc	2026-07-06	ashby-api	Member of Technical Staff, Data Analysis and Evaluation	Cohere	added	London · San Francisco · United States · New York · Paris · France · Toronto · Canada · Montreal
https://jobs.ashbyhq.com/cohere/70664617-84f6-4ee8-a4f6-4037ebfda9db	2026-07-06	ashby-api	Senior Software Engineer, Agent Infrastructure	Cohere	added	Toronto · Canada · United States · San Francisco
https://jobs.ashbyhq.com/cohere/70a8dc77-ac84-4790-aff6-13b4dcd4554a	2026-07-06	ashby-api	Member of Technical Staff, Agent Code	Cohere	added	London · Europe · European Union · New York · United States · Paris · France · Toronto · Canada
https://jobs.ashbyhq.com/cohere/7ec9eaf4-8cfc-4977-9041-86f73e7ab10b	2026-07-06	ashby-api	Senior Research Scientist, Cohere Labs	Cohere	added	London · Europe · European Union · Canada · United States · San Francisco · United Kingdom
https://jobs.ashbyhq.com/cohere/830c613b-d4bf-4673-ab33-46ccc12cc415	2026-07-06	ashby-api	Senior Research Scientist, Model Evaluation	Cohere	added	Toronto · San Francisco · United States · Canada · Seattle · London · United Kingdom · New York
https://jobs.ashbyhq.com/cohere/a5bbd015-65a9-48a1-aab1-b266bdbc9905	2026-07-06	ashby-api	Senior Software Engineer, Security Agents	Cohere	added	Toronto · San Francisco · United States · New York · Montreal · Canada
https://jobs.ashbyhq.com/cohere/a8122632-cc3b-4a1a-bd78-4b4b9466cb38	2026-07-06	ashby-api	Product Manager, Safety Research	Cohere	added	United States · Europe · European Union · New York · Toronto · Canada
https://jobs.ashbyhq.com/cohere/b0bcef37-1d20-414f-aade-c54942d63df9	2026-07-06	ashby-api	Forward Deployed Engineer, Agentic Platform	Cohere	added	United States · Canada · New York · Ottawa · Toronto · Montreal
https://jobs.ashbyhq.com/cohere/c80f0fe9-3fc4-49fe-9f26-a7115350b1fc	2026-07-06	ashby-api	Staff Research Engineer, Model Efficiency	Cohere	added	New York · San Francisco · United States · Toronto · Canada · Montreal
https://jobs.ashbyhq.com/cohere/cb5d588c-5637-423a-968b-bf637ee2caf9	2026-07-06	ashby-api	Senior Research Engineer, Model Evaluation	Cohere	added	Toronto · San Francisco · United States · Canada · Seattle · London · United Kingdom · New York
https://jobs.ashbyhq.com/cohere/e9ef9420-88e5-403b-82e8-1c36fa010d4d	2026-07-06	ashby-api	Member of Technical Staff, Integration/RL Team (Research Engineer)	Cohere	added	Paris · London · United Kingdom · New York · United States · Toronto · Canada · Montreal
https://boards.greenhouse.io/apptronik/jobs/6008466004?gh_jid=6008466004	2026-07-06	greenhouse-api	Director of Product Safety	Apptronik	added	Sunnyvale, CA
https://boards.greenhouse.io/apptronik/jobs/6001229004?gh_jid=6001229004	2026-07-06	greenhouse-api	Hardware Simulation Manager	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/5995524004?gh_jid=5995524004	2026-07-06	greenhouse-api	Mechanical Engineer – Thermal Simulation & Analysis	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/5988482004?gh_jid=5988482004	2026-07-06	greenhouse-api	Robotics Test Engineer	Apptronik	added	Onsite - Austin, TX
https://boards.greenhouse.io/apptronik/jobs/6000534004?gh_jid=6000534004	2026-07-06	greenhouse-api	Senior Mechanical Engineer – Structural Simulation & Analysis	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/6001624004?gh_jid=6001624004	2026-07-06	greenhouse-api	Senior Mechanical Engineer – Thermal Simulation & Analysis	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/5678268004?gh_jid=5678268004	2026-07-06	greenhouse-api	Senior Perception Learning Engineer	Apptronik	added	Sunnyvale, CA
https://boards.greenhouse.io/apptronik/jobs/6013277004?gh_jid=6013277004	2026-07-06	greenhouse-api	Senior Perception Learning Engineer - SLAM	Apptronik	added	Sunnyvale, C A
https://boards.greenhouse.io/apptronik/jobs/6007496004?gh_jid=6007496004	2026-07-06	greenhouse-api	Senior Product Manager - Simulation	Apptronik	added	Mountain View, California
https://boards.greenhouse.io/apptronik/jobs/5813673004?gh_jid=5813673004	2026-07-06	greenhouse-api	Senior Reinforcement Learning Engineer	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/6099716004?gh_jid=6099716004	2026-07-06	greenhouse-api	Senior Robot Platform Software Engineer, Perception Systems	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/6085871004?gh_jid=6085871004	2026-07-06	greenhouse-api	Senior Simulation Engineer - Core Simulation Platform	Apptronik	added	Sunnyvale, CA
https://boards.greenhouse.io/apptronik/jobs/6008250004?gh_jid=6008250004	2026-07-06	greenhouse-api	Senior Simulation Engineer - Scan2Sim and Asset Library	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/6001635004?gh_jid=6001635004	2026-07-06	greenhouse-api	Staff Mechanical Engineer – Thermal Simulation & Analysis	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/5988546004?gh_jid=5988546004	2026-07-06	greenhouse-api	Staff Perception Hardware Engineer	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/5988662004?gh_jid=5988662004	2026-07-06	greenhouse-api	Staff Power Systems Safety Engineer	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/6104146004?gh_jid=6104146004	2026-07-06	greenhouse-api	Staff Simulation Engineer - Core Simulation Platform	Apptronik	added	Sunnyvale, CA
https://boards.greenhouse.io/apptronik/jobs/5995710004?gh_jid=5995710004	2026-07-06	greenhouse-api	Staff Simulation Engineer - Dexterity	Apptronik	added	Austin, TX
https://boards.greenhouse.io/apptronik/jobs/6016728004?gh_jid=6016728004	2026-07-06	greenhouse-api	Staff Systems Engineer - Perception	Apptronik	added	Austin, TX or Sunnyvale, CA
https://apply.workable.com/huggingface/jobs/view/81B46579FE	2026-07-06	workable-api	Open-Source Machine Learning Engineer - EMEA Remote	Hugging Face	added	Paris, France (Remote)
https://apply.workable.com/huggingface/jobs/view/19A136F8E2	2026-07-06	workable-api	Open-Source Machine Learning Engineer - US Remote	Hugging Face	added	New York, United States (Remote)
https://jobs.ashbyhq.com/openai/0166f2cc-763b-41d7-9843-e5bc2e9ea5ed	2026-07-06	ashby-api	Program Manager, Safety	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/01f5e531-4de9-4258-9662-7ad4bdf96ddd	2026-07-06	ashby-api	Research Program Manager, Alignment	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/09253a0e-a2b8-49d1-80bb-6955ba3b08a3	2026-07-06	ashby-api	Research Engineer/Scientist - Human Alignment, Consumer Devices	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/16ae0f82-e390-453e-b175-0655f1b0fc67	2026-07-06	ashby-api	Researcher, Alignment Oversight	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/171ebca6-de53-4d6e-a312-30332f353957	2026-07-06	ashby-api	Research Engineer/Research Scientist - Personal AGI, North Stars	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/1906c058-7610-4cf2-b5ed-ae7f4b6a16ca	2026-07-06	ashby-api	Data Scientist, Safety Systems	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/19b9af1a-6a6e-42e3-824b-a9f3794fef2b	2026-07-06	ashby-api	Abuse Investigator - Child Safety	OpenAI	added	San Francisco · Remote - US · United States
https://jobs.ashbyhq.com/openai/1b65e981-2cd2-408d-8351-2e2fb1351033	2026-07-06	ashby-api	Strategic Operations Lead, User Safety & Risk Operations	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/1bec5fd1-9cf2-4678-a82d-2d06385718b2	2026-07-06	ashby-api	Security Preparedness Lead, Coding Agents	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/1c516e9f-c97d-4a40-8529-9871dac615a5	2026-07-06	ashby-api	Research Engineer / Research Scientist- Personal AGI (Post Training)	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/20d85859-8f7e-4e13-a992-b801a34780e5	2026-07-06	ashby-api	Researcher, Recursive Self-Improvement Safety	OpenAI	added	San Francisco
https://jobs.ashbyhq.com/openai/23662a5c-43c3-4754-a6e0-30f8cbf6d681	2026-07-06	ashby-api	Analytics Engineer, Safety Systems	OpenAI	added	San Francisco
